Nr.,x1,x2,y1,y2,z1,z2,z3,z4,U1,U2,Zeit
126,"0,9","1,9","-0,8","0,5","10,0","-23,6","-4,0","24,0","-0,0011","0,0191","0,063"
127,"1,2","1,5","-0,8","0,2","12,8","-23,6","-4,0","24,0","-0,0011","0,0216","0,0635"
128,"0,5","1,9","-0,8","0,2","12,8","-23,6","-1,2","24,0","-0,0011","0,0216","0,064"
129,"1,2","2,2","-0,8","-0,1","10,0","-23,6","-1,2","24,0","-0,0011","0,0191","0,0645"
130,"1,5","2,2","-0,5","0,5","15,6","-26,4","-4,0","21,2","-0,0036","0,0216","0,065"
131,"1,5","2,2","-1,2","-0,5","10,0","-26,4","-4,0","24,0","-0,0011","0,0216","0,0655"
132,"1,2","2,2","-1,2","0,2","12,8","-23,6","-4,0","21,2","-0,0011","0,0216","0,066"
133,"1,2","1,9","-1,2","0,5","10,0","-23,6","-4,0","18,4","-0,0011","0,0191","0,0665"
134,"1,2","1,9","-1,2","1,2","12,8","-23,6","-1,2","21,2","-0,0011","0,0191","0,067"
135,"1,2","2,5","-0,8","0,2","12,8","-23,6","-4,0","24,0","-0,0011","0,0191","0,0675"
136,"1,2","1,9","-0,5","0,5","12,8","-23,6","1,6","21,2","-0,0011","0,0216","0,068"
137,"0,9","2,2","-0,8","0,2","12,8","-23,6","-4,0","21,2","-0,0011","0,0166","0,0685"
138,"1,2","2,2","-0,8","0,2","12,8","-23,6","-4,0","21,2","-0,0011","0,0140","0,069"
139,"1,5","1,9","-0,8","0,5","10,0","-29,2","-1,2","21,2","-0,0036","0,0191","0,0695"
140,"1,5","1,9","-0,8","0,2","12,8","-20,8","-1,2","21,2","-0,0011","0,0166","0,07"
141,"0,9","1,9","-0,8","0,2","12,8","-23,6","1,6","24,0","-0,0011","0,0166","0,0705"
142,"0,9","2,2","-0,8","0,2","10,0","-23,6","-1,2","21,2","-0,0036","0,0191","0,071"
143,"1,2","1,9","-0,8","0,2","10,0","-26,4","1,6","21,2","-0,0011","0,0191","0,0715"
144,"0,9","1,9","-1,2","0,2","15,6","-20,8","-1,2","21,2","-0,0036","0,0216","0,072"
145,"1,2","1,9","-0,5","0,5","12,8","-23,6","-6,8","21,2","-0,0011","0,0191","0,0725"
146,"1,5","1,5","-0,8","0,2","12,8","-23,6","-1,2","21,2","-0,0011","0,0166","0,073"
147,"1,2","1,9","-0,8","0,2","10,0","-23,6","-1,2","24,0","0,0014","0,0216","0,0735"
148,"1,2","2,2","-0,8","0,5","12,8","-20,8","-4,0","18,4","-0,0036","0,0191","0,074"
149,"1,2","1,9","-0,5","0,2","10,0","-26,4","-6,8","24,0","-0,0036","0,0216","0,0745"
150,"1,2","2,2","-1,2","0,2","10,0","-23,6","-4,0","21,2","-0,0036","0,0241","0,075"
151,"0,9","2,2","-1,2","0,2","12,8","-23,6","-4,0","21,2","-0,0011","0,0191","0,0755"
152,"0,9","2,2","-0,8","0,2","10,0","-23,6","-4,0","24,0","-0,0036","0,0216","0,076"
153,"1,2","2,2","-1,2","0,5","12,8","-23,6","-4,0","24,0","-0,0011","0,0216","0,0765"
154,"1,2","1,5","-0,8","0,2","10,0","-23,6","-1,2","24,0","0,0014","0,0191","0,077"
155,"1,2","1,9","-1,2","0,2","10,0","-26,4","-1,2","21,2","-0,0036","0,0191","0,0775"
156,"1,2","2,2","-0,5","0,2","10,0","-26,4","-1,2","21,2","-0,0036","0,0216","0,078"
157,"1,2","2,2","-0,8","0,2","15,6","-23,6","-1,2","21,2","-0,0036","0,0191","0,0785"
158,"1,2","1,9","-0,8","0,2","15,6","-26,4","-4,0","24,0","-0,0011","0,0191","0,079"
159,"0,9","2,2","-0,8","0,2","12,8","-23,6","-1,2","21,2","-0,0011","0,0191","0,0795"
160,"1,2","2,2","-1,2","0,5","10,0","-26,4","-4,0","21,2","-0,0036","0,0216","0,08"
161,"1,2","2,2","-0,8","0,5","12,8","-23,6","-1,2","18,4","0,0014","0,0191","0,0805"
162,"1,5","2,2","-0,8","0,2","12,8","-20,8","-1,2","24,0","-0,0011","0,0191","0,081"
163,"1,2","2,2","-1,2","0,5","10,0","-20,8","-4,0","18,4","-0,0036","0,0191","0,0815"
164,"1,2","2,5","-1,2","0,2","12,8","-23,6","-1,2","24,0","-0,0036","0,0216","0,082"
165,"1,2","2,2","-0,8","0,2","12,8","-23,6","-4,0","21,2","-0,0036","0,0191","0,0825"
166,"1,2","2,2","-1,2","0,2","10,0","-26,4","1,6","18,4","-0,0036","0,0191","0,083"
167,"0,9","2,2","-0,8","0,5","12,8","-23,6","-1,2","24,0","0,0065","0,0191","0,0835"
168,"1,2","1,5","-0,8","0,5","12,8","-20,8","-1,2","18,4","-0,0011","0,0191","0,084"
169,"1,2","1,9","-0,8","0,5","12,8","-23,6","-4,0","21,2","-0,0036","0,0191","0,0845"
170,"0,9","1,9","-0,8","0,2","12,8","-23,6","1,6","18,4","-0,0036","0,0216","0,085"
171,"0,9","2,9","-0,8","0,5","10,0","-29,2","-1,2","21,2","-0,0036","0,0216","0,0855"
172,"0,9","1,5","-0,8","0,5","12,8","-26,4","-4,0","21,2","-0,0036","0,0191","0,086"
173,"1,2","1,9","-0,5","0,5","10,0","-26,4","-4,0","18,4","-0,0036","0,0191","0,0865"
174,"0,9","2,2","-0,8","0,2","10,0","-20,8","-4,0","21,2","-0,0036","0,0191","0,087"
175,"0,9","2,2","-1,2","0,5","10,0","-23,6","-4,0","21,2","-0,0036","0,0191","0,0875"
176,"0,9","2,5","-0,8","0,5","12,8","-20,8","-4,0","18,4","-0,0036","0,0191","0,088"
177,"1,2","2,2","-1,2","0,5","12,8","-23,6","-4,0","24,0","-0,0036","0,0191","0,0885"
178,"1,2","1,9","-0,8","0,2","12,8","-20,8","-1,2","21,2","0,0039","0,0216","0,089"
179,"0,9","2,2","-1,2","0,5","7,2","-23,6","-4,0","21,2","-0,0036","0,0166","0,0895"
180,"1,2","2,2","-1,2","0,2","10,0","-23,6","-1,2","21,2","-0,0036","0,0216","0,09"
181,"1,5","1,9","-0,5","0,5","12,8","-23,6","-4,0","21,2","-0,0036","0,0191","0,0905"
182,"1,2","1,9","-1,2","0,5","12,8","-20,8","-1,2","18,4","-0,0011","0,0191","0,091"
183,"0,9","2,2","-0,8","0,5","15,6","-23,6","-4,0","21,2","-0,0011","0,0216","0,0915"
184,"1,2","1,9","-0,8","0,5","10,0","-20,8","-4,0","21,2","-0,0011","0,0191","0,092"
185,"0,9","2,2","-0,8","0,5","12,8","-23,6","-6,8","24,0","-0,0036","0,0166","0,0925"
186,"0,9","1,9","-0,8","0,5","15,6","-23,6","-4,0","21,2","-0,0036","0,0191","0,093"
187,"1,2","1,9","-0,5","0,5","12,8","-23,6","-4,0","18,4","-0,0036","0,0191","0,0935"
188,"0,9","2,2","-1,2","0,2","12,8","-23,6","-4,0","21,2","-0,0036","0,0216","0,094"
189,"1,2","2,5","-0,8","0,2","12,8","-23,6","1,6","21,2","-0,0011","0,0191","0,0945"
190,"1,2","2,2","-0,8","0,9","10,0","-23,6","-4,0","21,2","-0,0036","0,0191","0,095"
191,"1,2","2,2","-0,8","0,2","12,8","-20,8","-1,2","21,2","-0,0036","0,0191","0,0955"
192,"0,9","2,2","-0,8","0,2","15,6","-23,6","-4,0","21,2","-0,0036","0,0216","0,096"
193,"0,9","2,5","-0,8","0,5","12,8","-26,4","-4,0","21,2","-0,0036","0,0191","0,0965"
194,"0,9","3,2","-0,8","0,5","10,0","-23,6","-4,0","24,0","-0,0036","0,0191","0,097"
195,"1,2","2,2","-0,8","0,5","15,6","-23,6","-4,0","21,2","-0,0061","0,0191","0,0975"
196,"0,9","1,9","-0,5","0,2","12,8","-26,4","-4,0","24,0","-0,0036","0,0191","0,098"
197,"1,2","1,9","-0,8","0,2","10,0","-23,6","-4,0","21,2","-0,0011","0,0216","0,0985"
198,"1,2","2,2","-0,8","-0,1","10,0","-23,6","-6,8","21,2","0,0039","0,0191","0,099"
199,"1,2","2,2","-1,2","-0,1","12,8","-20,8","-1,2","24,0","-0,0036","0,0166","0,0995"
200,"1,2","1,9","-0,8","0,5","12,8","-23,6","-6,8","18,4","-0,0036","0,0191","0,1"
201,"1,2","2,2","-0,8","0,9","12,8","-20,8","-4,0","21,2","-0,0036","0,0191","0,1005"
202,"1,2","2,2","-0,8","0,5","12,8","-20,8","-1,2","29,6","-0,0061","0,0191","0,101"
203,"0,9","2,5","-0,8","0,2","12,8","-23,6","-4,0","21,2","-0,0036","0,0191","0,1015"
204,"1,5","2,2","-0,5","0,5","12,8","-20,8","-6,8","18,4","-0,0036","0,0191","0,102"
205,"1,2","2,5","-0,8","0,5","12,8","-20,8","-4,0","21,2","-0,0036","0,0191","0,1025"
206,"0,9","2,2","-0,8","0,5","10,0","-20,8","-4,0","18,4","-0,0036","0,0166","0,103"
207,"0,9","2,2","-1,2","0,5","12,8","-20,8","-4,0","26,8","-0,0011","0,0191","0,1035"
208,"0,9","1,9","-0,8","0,5","15,6","-23,6","-4,0","21,2","-0,0036","0,0191","0,104"
209,"1,2","2,2","-0,8","0,5","12,8","-23,6","-4,0","18,4","-0,0036","0,0191","0,1045"
210,"1,5","1,9","-0,8","0,5","12,8","-20,8","-1,2","21,2","-0,0011","0,0191","0,105"
211,"0,9","1,9","-0,8","0,9","12,8","-20,8","-4,0","21,2","-0,0036","0,0191","0,1055"
212,"1,2","2,2","-0,8","0,5","12,8","-20,8","-4,0","18,4","-0,0061","0,0166","0,106"
213,"1,2","1,9","-0,5","0,5","12,8","-23,6","-4,0","18,4","-0,0036","0,0191","0,1065"
