Nr.;x1;x2;y1;y2;z1;z2;z3;z4;U1;U2;Zeit
92;0,2;0,5;0,2;0,2;1,6;-6,8;-4;10;-0,0087;0,0115;0,046
93;0,2;0,9;-0,1;-0,1;-1,2;-6,8;-9,6;7,2;-0,0036;0,009;0,0465
94;-0,1;0,5;-0,1;-0,1;1,6;-4;-6,8;15,6;-0,0061;0,0065;0,047
95;0,2;1,2;-0,1;-0,1;1,6;-6,8;-9,6;10;-0,0061;0,009;0,0475
96;0,2;0,5;0,2;0,5;1,6;-4;-6,8;4,4;-0,0112;0,009;0,048
97;-0,1;0,5;0,2;0,5;4,4;-4;-6,8;7,2;-0,0087;0,009;0,0485
98;-0,1;0,5;-0,1;0,2;1,6;-4;-6,8;7,2;-0,0061;0,009;0,049
99;-0,1;0,9;-0,1;-0,1;4,4;-9,6;-9,6;7,2;-0,0061;0,0065;0,0495
100;0,2;0,5;-0,1;0,2;1,6;-6,8;-6,8;7,2;-0,0087;0,0065;0,05
101;0,2;0,5;-0,1;0,5;1,6;-4;-6,8;12,8;-0,0061;0,0039;0,0505
102;-0,1;0,9;0,2;-0,1;4,4;-1,2;-6,8;7,2;-0,0061;0,009;0,051
103;0,2;0,9;0,2;-0,1;4,4;-6,8;-9,6;10;-0,0061;0,0065;0,0515
104;0,2;0,9;1,5;0,2;1,6;-6,8;-6,8;10;-0,0061;0,0065;0,052
105;-0,1;0,5;0,2;0,2;1,6;-6,8;-6,8;7,2;-0,0036;0,0065;0,0525
106;-0,1;-0,1;-0,1;0,2;1,6;-4;-9,6;4,4;-0,0036;0,009;0,053
107;0,2;0,9;0,2;0,2;1,6;-6,8;-4;10;-0,0061;0,009;0,0535
108;-0,1;0,5;-0,1;0,2;1,6;-4;-4;7,2;-0,0061;0,0039;0,054
109;-0,1;0,9;-0,5;0,2;4,4;-6,8;-9,6;10;-0,0061;0,0065;0,0545
110;0,2;0,9;-0,1;0,2;4,4;-6,8;-9,6;7,2;-0,0112;0,0065;0,055
111;-0,1;0,5;-0,5;0,2;4,4;1,6;-6,8;10;-0,0036;0,0065;0,0555
112;-0,1;0,9;0,2;0,2;4,4;-6,8;-6,8;7,2;-0,0061;0,0065;0,056
113;0,2;0,9;-0,1;0,2;1,6;-4;-6,8;7,2;-0,0036;0,009;0,0565
114;0,2;0,9;-0,1;0,5;4,4;-4;-4;7,2;-0,0061;0,009;0,057
115;-0,5;0,5;-0,1;0,2;4,4;-6,8;-6,8;7,2;-0,0061;0,009;0,0575
116;-0,1;0,9;0,2;0,2;4,4;-4;-4;10;-0,0061;0,0039;0,058
117;-0,1;0,9;-0,1;0,2;1,6;-6,8;-6,8;7,2;-0,0087;0,009;0,0585
